epoch,loss,accuracy,emb,L1,L2,L3,L4,scenario
0,0.0,0.0,18.058996200908755,15.791346459880936,16.477736382282174,20.33077664586249,18.31349621030904,prajjwal1_bert_small_0_01
1,1.107343258632894,0.3453486255233934,18.05902671848688,15.792619290951713,16.48396080568495,20.33629729269025,18.26797022698856,prajjwal1_bert_small_0_01
2,1.0927279152636664,0.3803022028035682,18.05967903102484,15.791893723448096,16.489910302821045,20.37647655937769,18.21292046061331,prajjwal1_bert_small_0_01
3,1.0583294692335503,0.4505734571272529,18.06187057564564,15.804361548598251,16.432855812682494,20.416695406413915,18.136166690456268,prajjwal1_bert_small_0_01
4,0.9632466501949176,0.551247041689423,18.067779541015625,15.837119390854696,16.517267201824872,20.771086228386466,18.040892686606018,prajjwal1_bert_small_0_01
5,0.8131585849692169,0.642818132168214,18.0715293891222,15.86725136996314,16.59756730151007,20.938098065084432,18.01184190228926,prajjwal1_bert_small_0_01
6,0.712001983604643,0.7003458947751684,18.071554184307196,15.868193134201608,16.739220171097998,21.0149707096252,17.99616219509978,prajjwal1_bert_small_0_01
7,0.6427287447979905,0.7285636264336428,18.071985244403745,15.873998313138507,16.67403085049918,20.94978838784652,17.986315106555626,prajjwal1_bert_small_0_01
8,0.5691025306102945,0.7684325505188422,18.072189331054688,15.882425110652196,16.657486450817554,20.9673551250064,17.966435880884976,prajjwal1_bert_small_0_01
9,0.5141404490763972,0.7995630802839978,18.07197379961748,15.903037908232193,16.771006353778656,21.071079775693747,17.934024948989588,prajjwal1_bert_small_0_01
10,0.4568948261555092,0.8257782632441288,18.069469452598764,15.91159918754018,16.58699194399273,21.04158322389673,17.954512224765114,prajjwal1_bert_small_0_01
11,0.3885270425710395,0.8543600946659384,18.06874465872936,15.90589709640439,16.587577921216138,21.157635392765958,17.943135615539273,prajjwal1_bert_small_0_01
12,0.3333865019894462,0.8847624249044238,18.06884193385687,15.904503708955218,16.712511981746744,21.207839643588468,17.913721124526475,prajjwal1_bert_small_0_01
13,0.2729467071908844,0.9022392135445112,18.07103156869841,15.886811731943729,16.674318431310482,21.1028320212497,17.876856462390787,prajjwal1_bert_small_0_01
14,0.2284690908410825,0.9206262515929364,18.066205978740783,15.900809516677564,16.60655434214524,21.06682994459879,17.883721434091274,prajjwal1_bert_small_0_01
15,0.1824192671939776,0.9364645912980156,18.068136215557196,15.89010838734828,16.586473109052413,21.24590143731181,17.850168244469344,prajjwal1_bert_small_0_01
16,0.1451800386900353,0.9493901328964136,18.06707191432562,15.891826426160373,16.776936144770634,21.29414609905238,17.86570288760402,prajjwal1_bert_small_0_01
17,0.1209536917045123,0.9601310759148006,18.055919647911264,15.87746790565256,16.618536920858258,21.18549679850438,17.84752718225629,prajjwal1_bert_small_0_01
18,0.1083622768361256,0.9637720735481522,18.05934524466686,15.879566171098531,16.545135421655704,21.12527263869837,17.84763460768695,prajjwal1_bert_small_0_01
19,0.0964741590254374,0.9663207718914982,18.05571937526312,15.890092854939937,16.481668166378125,21.058051224074337,17.843754651527814,prajjwal1_bert_small_0_01
20,0.0846184401118633,0.9736027671582014,18.052080154071717,15.855714576786472,16.58225428166121,21.132070636176334,17.860920867003227,prajjwal1_bert_small_0_01
21,0.0765801939768108,0.9736027671582014,18.0462627414361,15.82447626741341,16.503888768922344,21.152324753599306,17.862988742652668,prajjwal1_bert_small_0_01
22,0.0621487010455502,0.9766976151465502,18.044334411621094,15.869294939331075,16.446254032287097,20.95954976410851,17.885771807829105,prajjwal1_bert_small_0_01
23,0.0660720537493357,0.9761514655015474,18.04026413033314,15.858574526092513,16.422379448399525,21.067502178565068,17.873874248321993,prajjwal1_bert_small_0_01
24,0.0479713081743859,0.9847078099399236,18.04046058620062,15.870820915462453,16.51439173816658,21.06764958157861,17.869965716309395,prajjwal1_bert_small_0_01
