epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,model
0,0.0,0.0,14.785798,12.473394,12.358316,13.475222,16.152384,15.982066,16.629322,18.638475,22.008993,24.405754,25.943121,28.36507,15.218659,bert_uncased_L-12_H-768_A-12
1,1.111782642010131,0.3151183970856102,14.785699,12.473408,12.357864,13.473547,16.155802,15.984757,16.62165,18.627344,22.003431,24.40827,25.963848,28.409334,15.17103,bert_uncased_L-12_H-768_A-12
2,1.0908786436247695,0.3806921675774135,14.785554,12.473974,12.357481,13.471396,16.159145,15.991816,16.619062,18.62719,22.005926,24.40691,26.003761,28.471373,15.081167,bert_uncased_L-12_H-768_A-12
3,1.0805855279411771,0.4098360655737705,14.785067,12.475028,12.360774,13.480303,16.192648,16.03756,16.637953,18.63279,22.002218,24.408401,26.01453,28.47063,15.055634,bert_uncased_L-12_H-768_A-12
4,1.0542756616526396,0.4298724954462659,14.783873,12.476532,12.366424,13.498076,16.260101,16.13056,16.69782,18.791931,22.129951,24.372862,25.899637,28.199667,15.294552,bert_uncased_L-12_H-768_A-12
5,1.0112646375197532,0.4954462659380692,14.782961,12.477651,12.381437,13.519063,16.306555,16.301983,16.943285,19.083443,22.25256,24.312347,25.768759,28.03871,15.664128,bert_uncased_L-12_H-768_A-12
6,0.9569599267997811,0.581056466302368,14.780549,12.479622,12.393343,13.516766,16.297983,16.35793,17.061157,19.37443,22.481878,24.21681,25.44569,27.354263,16.545727,bert_uncased_L-12_H-768_A-12
7,0.8514847209327642,0.6411657559198543,14.780732,12.483581,12.419546,13.593303,16.56326,16.80084,17.47045,19.879623,22.746141,24.116863,25.043854,26.701057,17.632595,bert_uncased_L-12_H-768_A-12
8,0.7102134961682374,0.7358834244080146,14.779028,12.46918,12.44088,13.703578,16.76009,17.130346,17.7292,20.217909,22.896116,24.063185,24.8151,26.340837,18.463387,bert_uncased_L-12_H-768_A-12
9,0.5019217265433953,0.8743169398907104,14.776954,12.4589405,12.453312,13.67201,16.756777,17.166477,17.759573,20.449541,23.116209,23.9897,24.620615,26.074263,19.504787,bert_uncased_L-12_H-768_A-12
