epoch,loss,accuracy,emb,L1,L2,model,L3,L4,L5,L6,L7,L8
0,0.0,0.0,12.57887,9.403916,12.464796,bert_uncased_L-2_H-128_A-2,,,,,,
1,1.10162113276245,0.3462588749317313,12.578786,9.402848,12.463005,bert_uncased_L-2_H-128_A-2,,,,,,
2,1.0994650255715763,0.3386127799016931,12.578183,9.400975,12.458232,bert_uncased_L-2_H-128_A-2,,,,,,
3,1.0981453353104729,0.3517203713817586,12.578139,9.403424,12.453356,bert_uncased_L-2_H-128_A-2,,,,,,
4,1.0967691661706935,0.3495357728017477,12.576602,9.399816,12.459284,bert_uncased_L-2_H-128_A-2,,,,,,
5,1.0965936024636491,0.3438922264700528,12.574721,9.395196,12.402464,bert_uncased_L-2_H-128_A-2,,,,,,
6,1.092476709019654,0.3693792099035136,12.574519,9.387649,12.338981,bert_uncased_L-2_H-128_A-2,,,,,,
7,1.0898301226181693,0.3770253049335518,12.574924,9.35374,12.248103,bert_uncased_L-2_H-128_A-2,,,,,,
8,1.0811815365142516,0.407063535408702,12.569105,9.319843,12.164279,bert_uncased_L-2_H-128_A-2,,,,,,
9,1.0671038746985717,0.4341889677771709,12.564224,9.294575,12.117657,bert_uncased_L-2_H-128_A-2,,,,,,
10,1.0548282168980572,0.4516657564172583,12.560114,9.259606,11.997134,bert_uncased_L-2_H-128_A-2,,,,,,
11,1.0343581550047087,0.4756963407973785,12.558061,9.247226,11.931043,bert_uncased_L-2_H-128_A-2,,,,,,
12,1.0038674105804477,0.515019115237575,12.559302,9.23582,11.830214,bert_uncased_L-2_H-128_A-2,,,,,,
13,0.9652768045029048,0.5505188421627526,12.556381,9.222404,11.821224,bert_uncased_L-2_H-128_A-2,,,,,,
14,0.926895338004998,0.5871108683779356,12.55757,9.229913,11.785214,bert_uncased_L-2_H-128_A-2,,,,,,
15,0.8932021483032946,0.6029492080830148,12.561698,9.194267,11.761333,bert_uncased_L-2_H-128_A-2,,,,,,
16,0.8552013786247513,0.6242490442381212,12.5683155,9.167883,11.739124,bert_uncased_L-2_H-128_A-2,,,,,,
17,0.8176340516660028,0.6393591844165302,12.574976,9.144122,11.751634,bert_uncased_L-2_H-128_A-2,,,,,,
18,0.7916020878064878,0.6588385217549608,12.580076,9.145954,11.706956,bert_uncased_L-2_H-128_A-2,,,,,,
19,0.7586246263605421,0.6835973056617514,12.589356,9.110299,11.676504,bert_uncased_L-2_H-128_A-2,,,,,,
20,0.7324136568726075,0.6872383032951028,12.590158,9.108687,11.714971,bert_uncased_L-2_H-128_A-2,,,,,,
21,0.705974371293714,0.7023484434735118,12.5949545,9.09184,11.709612,bert_uncased_L-2_H-128_A-2,,,,,,
22,0.679268658595204,0.7240123793919534,12.603817,9.0682955,11.673545,bert_uncased_L-2_H-128_A-2,,,,,,
23,0.6526220139748798,0.7309302748953214,12.610623,9.076614,11.6572695,bert_uncased_L-2_H-128_A-2,,,,,,
24,0.6345024160320547,0.7367558711086838,12.614272,9.025867,11.649709,bert_uncased_L-2_H-128_A-2,,,,,,
25,0.6209216733111638,0.750409612233752,12.620386,9.021796,11.682982,bert_uncased_L-2_H-128_A-2,,,,,,
26,0.5923867088815629,0.7624249044238122,12.619084,9.0250435,11.689271,bert_uncased_L-2_H-128_A-2,,,,,,
27,0.5655798479363976,0.778809393773894,12.625489,9.0125475,11.681331,bert_uncased_L-2_H-128_A-2,,,,,,
28,0.5422350649579332,0.7902785363189514,12.628242,9.000033,11.692383,bert_uncased_L-2_H-128_A-2,,,,,,
29,0.5313191514956632,0.7906426360822866,12.630813,8.995686,11.693946,bert_uncased_L-2_H-128_A-2,,,,,,
30,0.4998588451711115,0.80466047697069,12.637151,8.982257,11.677923,bert_uncased_L-2_H-128_A-2,,,,,,
31,0.4932100326989315,0.8090296741307118,12.63695,8.966607,11.702131,bert_uncased_L-2_H-128_A-2,,,,,,
32,0.4798674974722787,0.81066812306572,12.640894,8.966067,11.711935,bert_uncased_L-2_H-128_A-2,,,,,,
33,0.4578030672302103,0.827052612415802,12.643817,8.955611,11.703004,bert_uncased_L-2_H-128_A-2,,,,,,
34,0.4456177796906034,0.8316038594574914,12.645505,8.934434,11.716657,bert_uncased_L-2_H-128_A-2,,,,,,
35,0.43086643715591,0.833060258510832,12.648383,8.932914,11.689783,bert_uncased_L-2_H-128_A-2,,,,,,
36,0.4085623998416701,0.8490806480975788,12.647517,8.926889,11.686522,bert_uncased_L-2_H-128_A-2,,,,,,
37,0.405302604327062,0.8445294010558894,12.654345,8.896437,11.707799,bert_uncased_L-2_H-128_A-2,,,,,,
38,0.3952648342035517,0.8530857454942654,12.664237,8.907696,11.7035265,bert_uncased_L-2_H-128_A-2,,,,,,
39,0.3773526414027093,0.8581831421809576,12.660588,8.915421,11.709518,bert_uncased_L-2_H-128_A-2,,,,,,
40,0.3559389536267483,0.8698343346076826,12.667495,8.891348,11.705085,bert_uncased_L-2_H-128_A-2,,,,,,
41,0.354136248874508,0.8729291825960314,12.6670065,8.893562,11.729573,bert_uncased_L-2_H-128_A-2,,,,,,
42,0.3505454508578562,0.8691061350810122,12.667752,8.888588,11.724741,bert_uncased_L-2_H-128_A-2,,,,,,
43,0.3332540854071086,0.8789368286910614,12.6679735,8.882203,11.714845,bert_uncased_L-2_H-128_A-2,,,,,,
44,0.3192489478400056,0.8853085745494266,12.673774,8.869477,11.718185,bert_uncased_L-2_H-128_A-2,,,,,,
45,0.3009148654164283,0.8880393227744402,12.6730385,8.854229,11.709187,bert_uncased_L-2_H-128_A-2,,,,,,
46,0.2808614391545314,0.9000546149645002,12.6696205,8.856726,11.72431,bert_uncased_L-2_H-128_A-2,,,,,,
47,0.2781249502551332,0.9004187147278354,12.673782,8.854545,11.73128,bert_uncased_L-2_H-128_A-2,,,,,,
48,0.2673740905424556,0.9058802111778628,12.676987,8.847673,11.728939,bert_uncased_L-2_H-128_A-2,,,,,,
49,0.250392074707062,0.9115237575095576,12.67534,8.850332,11.714058,bert_uncased_L-2_H-128_A-2,,,,,,
50,0.2541986746354418,0.9073366102312034,12.682661,8.846765,11.713721,bert_uncased_L-2_H-128_A-2,,,,,,
51,0.2459445115393809,0.9153468050245768,12.6823015,8.842935,11.742874,bert_uncased_L-2_H-128_A-2,,,,,,
52,0.2325293326595431,0.919533952302931,12.683651,8.842449,11.742325,bert_uncased_L-2_H-128_A-2,,,,,,
53,0.2330985731722801,0.9191698525395958,12.67772,8.8425455,11.742034,bert_uncased_L-2_H-128_A-2,,,,,,
54,0.2234756928364528,0.9197160021845986,12.685062,8.836593,11.731457,bert_uncased_L-2_H-128_A-2,,,,,,
55,0.2088824327788933,0.9271800473329692,12.680444,8.838431,11.727976,bert_uncased_L-2_H-128_A-2,,,,,,
56,0.2089811035481259,0.9215365010012744,12.677779,8.824727,11.733386,bert_uncased_L-2_H-128_A-2,,,,,,
57,0.2061187535315486,0.926451847806299,12.679632,8.819025,11.732622,bert_uncased_L-2_H-128_A-2,,,,,,
58,0.2016948849999056,0.9313671946113236,12.685809,8.810154,11.72173,bert_uncased_L-2_H-128_A-2,,,,,,
