epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,model
0,0.0,0.0,14.785798955846715,12.47539124665437,12.36066761723271,13.464282989501951,16.129593601933234,15.955044075294778,16.580947734691478,18.573475731743702,21.97257430465133,24.42061671504268,26.00338377775969,28.435743543836807,15.114105365894458,bert_uncased_L-12_H-768_A-12
1,1.127282041090506,0.3333333333333333,14.785793445728444,12.47542204680266,12.36083475748698,13.464819025110316,16.130303418194806,15.954077967890989,16.57853274875217,18.56846745808919,21.969862478750724,24.42138954445168,26.00824596263744,28.445150869864005,15.108341640896269,bert_uncased_L-12_H-768_A-12
2,1.1130691678435711,0.3333333333333333,14.785749364782262,12.475487603081596,12.361459661413122,13.467297589337385,16.132953219943577,15.952073556405526,16.57522639521846,18.557094008834277,21.963146916142215,24.42324744330512,26.01972763626664,28.47180938720703,15.09643229731807,bert_uncased_L-12_H-768_A-12
3,1.08102019627889,0.4074074074074074,14.785733258282695,12.475361152931496,12.3623046875,13.471892886691624,16.135291346797235,15.948768474437571,16.57408551816587,18.54615162037037,21.955517521610968,24.42566313566985,26.040893837257663,28.51756710476345,15.08004308629919,bert_uncased_L-12_H-768_A-12
4,1.0808864037195842,0.3703703703703703,14.78582947342484,12.475302943476924,12.363898948386865,13.478620175962094,16.13879535816334,15.950999789767796,16.584970827455873,18.53800978483977,21.947663483796298,24.42777449996383,26.05859120686849,28.56441893400969,15.083493833188657,bert_uncased_L-12_H-768_A-12
5,1.0310106939739652,0.5740740740740741,14.786038434063949,12.475498340747974,12.365885699236834,13.486330526846428,16.143747824209708,15.957545668990525,16.60431586371528,18.5428949991862,21.94515397813585,24.42888330530237,26.064965707284436,28.59194239863643,15.104270228633174,bert_uncased_L-12_H-768_A-12
6,1.020356189321589,0.5740740740740741,14.786250079119649,12.475413852267796,12.368751102023657,13.497270654748988,16.159848248517072,15.986699704770688,16.65090744583695,18.582355640552663,21.958546956380207,24.42454754864728,26.04136092574508,28.574610392252605,15.164022657606337,bert_uncased_L-12_H-768_A-12
7,1.02219906118181,0.5370370370370371,14.786478113245082,12.475495091191044,12.371859515154805,13.506739439787689,16.178424270064742,16.0272787588614,16.71077643500434,18.650044476544416,21.993121394404657,24.41251232005932,25.99317677815755,28.51354613127532,15.277596791585289,bert_uncased_L-12_H-768_A-12
8,0.9641125687846432,0.5925925925925926,14.786706853795934,12.475643581814236,12.375189322012442,13.51545093677662,16.192253677933305,16.07112036810981,16.783323923746746,18.75889997129087,22.05625237358941,24.39122065791377,25.93421512179905,28.424513075086807,15.424628646285443,bert_uncased_L-12_H-768_A-12
9,0.9730723014584294,0.5925925925925926,14.786892078540944,12.476055145263672,12.379142196090132,13.52742244579174,16.2172078733091,16.141777321144385,16.886417812771267,18.92690983525029,22.154834606029368,24.35866348831742,25.83706325954861,28.25606819435402,15.633405614782262,bert_uncased_L-12_H-768_A-12
10,0.883717331621382,0.9074074074074074,14.787163769757306,12.476496802435982,12.385566146285443,13.550585146303533,16.26788824575919,16.26867138897931,17.065693042896413,19.182470816153067,22.29664244475188,24.31773461235894,25.690790247034144,28.005984553584344,15.877689361572266,bert_uncased_L-12_H-768_A-12
11,0.8492818518921181,0.8888888888888888,14.787580560754847,12.476829952663843,12.392089419894749,13.578870278817636,16.32915680496781,16.3997521577058,17.242295724374276,19.45157241821289,22.462410538284868,24.26673295762804,25.536421599211515,27.721045600043404,16.265217533818,bert_uncased_L-12_H-768_A-12
